Index,Lot,Date,Time,pH,Temp,Current,Voltage,Result
51,1,2021-09-06,오후 4:31:27.2,1.57,24.53,4.47,3.05,0
52,1,2021-09-06,오후 4:31:32.2,1.61,25.18,3.42,4.93,0
53,1,2021-09-06,오후 4:31:37.2,1.57,24.12,4.16,4.78,0
54,1,2021-09-06,오후 4:31:42.2,2.98,22.36,3.6,4.79,0
55,1,2021-09-06,오후 4:31:47.2,1.82,24.52,4.49,3.21,0
56,1,2021-09-06,오후 4:31:52.2,2.4,26.4,3.47,3.18,0
57,1,2021-09-06,오후 4:31:57.2,2.1,27.13,4.19,3.82,0
58,1,2021-09-06,오후 4:32:02.2,2.17,23.57,4.3,4.31,0
59,1,2021-09-06,오후 4:32:07.2,2.04,21.01,3.13,3.42,0
60,1,2021-09-06,오후 4:32:12.2,1.98,22.42,4.38,4.49,0
61,1,2021-09-06,오후 4:32:17.2,2.99,21.91,4.41,4.09,0
62,1,2021-09-06,오후 4:32:22.3,1.56,26.63,3.8,3.21,0
63,1,2021-09-06,오후 4:32:27.3,2.08,26.06,3.59,3.02,0
64,1,2021-09-06,오후 4:32:32.3,1.66,24.69,4.38,3.63,0
65,1,2021-09-06,오후 4:32:37.3,2.59,22.05,3.3,4.94,0
66,1,2021-09-06,오후 4:32:42.3,1.92,24.44,3.39,4.24,0
67,1,2021-09-06,오후 4:32:47.3,2.81,21.48,4.15,4.43,0
68,1,2021-09-06,오후 4:32:52.3,2.77,23.62,3.09,3.7,0
69,1,2021-09-06,오후 4:32:57.3,2.27,22.07,3.5,4.55,0
70,2,2021-09-06,오후 4:33:22.6,1.82,24.07,3.28,3.99,0
71,2,2021-09-06,오후 4:33:27.6,1.51,22.59,4.01,4.81,0
72,2,2021-09-06,오후 4:33:32.6,2.23,24.18,3.85,3.79,0
73,2,2021-09-06,오후 4:33:37.6,2.99,24.9,4.41,3.32,0
74,2,2021-09-06,오후 4:33:42.6,2.58,21.82,3.09,3.34,0
75,2,2021-09-06,오후 4:33:47.6,2.46,21.57,3.03,4.87,0
76,2,2021-09-06,오후 4:33:52.6,2.73,26.7,4.26,3.11,0
77,2,2021-09-06,오후 4:33:57.6,2.23,25.7,4.38,3.59,0
78,2,2021-09-06,오후 4:34:02.6,1.99,21.27,3.77,4.92,0
79,2,2021-09-06,오후 4:34:07.6,2.68,27.22,4.49,4.19,0
80,2,2021-09-06,오후 4:34:12.6,1.64,25.44,4.42,3.79,0
81,2,2021-09-06,오후 4:34:17.6,1.67,23.63,4.26,3.53,0
82,2,2021-09-06,오후 4:34:22.6,1.54,23.87,4.39,4.04,0
83,2,2021-09-06,오후 4:34:27.6,1.53,25.87,3.58,4.44,0
84,2,2021-09-06,오후 4:34:32.6,2.14,25.35,3.88,3.43,0
85,2,2021-09-06,오후 4:34:37.6,2.73,22.61,3.07,3.58,0
86,2,2021-09-06,오후 4:34:42.6,1.56,24.7,4.11,3.46,0
87,2,2021-09-06,오후 4:34:47.7,1.96,22.24,4.39,3.89,0
88,2,2021-09-06,오후 4:34:52.7,2.39,21.94,4.36,3.21,0
89,2,2021-09-06,오후 4:34:57.7,1.54,26.19,3.44,4.78,0
90,2,2021-09-06,오후 4:35:02.7,2.76,27.08,3.15,4.15,0
91,2,2021-09-06,오후 4:35:07.7,2.35,25.02,3.83,4.07,0
92,2,2021-09-06,오후 4:35:12.7,1.84,26.99,3.29,4.4,0
93,2,2021-09-06,오후 4:35:17.7,2.09,23.44,3.46,4,0
94,2,2021-09-06,오후 4:35:22.7,2.57,27.79,3.72,4.35,0
95,2,2021-09-06,오후 4:35:27.7,1.51,27.19,4.18,4.5,0
96,2,2021-09-06,오후 4:35:32.7,2.91,24.3,4.4,4.69,0
97,2,2021-09-06,오후 4:35:37.7,1.75,23.74,3.56,3.81,0
98,2,2021-09-06,오후 4:35:42.7,2.22,25.52,3.8,4.85,0
99,2,2021-09-06,오후 4:35:47.7,2.35,23.99,4.26,4.9,0
100,2,2021-09-06,오후 4:35:52.7,1.57,27.67,3.34,3.84,0
101,2,2021-09-06,오후 4:35:57.7,2.77,21.42,3.92,4.82,0
102,2,2021-09-06,오후 4:36:02.7,2.93,27.41,4.31,4.51,0
103,2,2021-09-06,오후 4:36:07.8,1.97,24.38,3.66,4.24,0
104,2,2021-09-06,오후 4:36:12.8,2.76,21.24,3.55,4.26,0
105,2,2021-09-06,오후 4:36:17.8,1.57,22.93,3.38,3.07,0
106,2,2021-09-06,오후 4:36:22.8,2.3,22.5,3.04,4.94,0
107,2,2021-09-06,오후 4:36:27.8,1.8,25.77,4.29,4.72,0
108,2,2021-09-06,오후 4:36:32.8,2.64,23.43,3.59,4.52,0
109,2,2021-09-06,오후 4:36:37.8,1.83,27.47,3.85,3.49,0
110,2,2021-09-06,오후 4:36:42.8,1.84,26.63,3.38,3.38,0
111,2,2021-09-06,오후 4:36:47.8,2.14,23.84,3.13,3.62,0
112,2,2021-09-06,오후 4:36:52.8,1.83,24.77,3.96,4.1,0
113,2,2021-09-06,오후 4:36:57.8,2.34,23.95,4.1,4.14,0
114,2,2021-09-06,오후 4:37:02.8,1.64,23.8,3.71,4.8,0
115,2,2021-09-06,오후 4:37:07.8,2.15,23.7,4.17,3.67,0
116,2,2021-09-06,오후 4:37:12.8,1.97,21.28,3.56,3.38,0
117,2,2021-09-06,오후 4:37:17.8,2.75,25.01,3.03,3.2,0
118,2,2021-09-06,오후 4:37:22.8,2.26,24.61,3.33,3.95,0
119,2,2021-09-06,오후 4:37:27.8,1.66,22.04,4,3.12,0
120,2,2021-09-06,오후 4:37:32.8,2.03,27.42,3.86,3.66,0
121,2,2021-09-06,오후 4:37:37.8,2.57,27.45,3.68,4.21,0
122,2,2021-09-06,오후 4:37:42.8,2.95,22.41,3.61,4.15,0
123,2,2021-09-06,오후 4:37:47.9,1.55,22.55,3.05,4.36,0
124,2,2021-09-06,오후 4:37:52.9,1.63,24.15,4.2,3.53,0
125,2,2021-09-06,오후 4:37:57.9,2.88,27.49,3.3,3.69,0
126,2,2021-09-06,오후 4:38:02.9,2.52,23.42,3.87,3.86,0
127,2,2021-09-06,오후 4:38:07.9,2.11,27.06,3.41,3.05,0
128,2,2021-09-06,오후 4:38:12.9,2.91,27.27,4.32,3.2,0
129,2,2021-09-06,오후 4:38:17.9,1.7,24.07,3.94,3.46,0
130,2,2021-09-06,오후 4:38:22.9,2.25,24.09,4.46,4.03,0
131,2,2021-09-06,오후 4:38:27.9,2.17,22.7,3.09,4,0
132,2,2021-09-06,오후 4:38:32.9,1.97,24.29,3.94,3.38,0
133,2,2021-09-06,오후 4:38:37.9,2.23,22.81,4.31,4.34,0
134,2,2021-09-06,오후 4:38:42.9,1.71,24.52,3.54,3.16,0
135,2,2021-09-06,오후 4:38:47.9,2.79,27.95,3.34,4.85,0
136,2,2021-09-06,오후 4:38:52.9,2.01,24.44,3.75,3.26,0
137,2,2021-09-06,오후 4:38:57.9,2.23,23.82,3.04,3.92,0
138,2,2021-09-06,오후 4:39:02.9,2.68,24.48,3.37,3.14,0
139,3,2021-09-06,오후 4:39:28.8,2.22,21.65,3.31,3.28,0
140,3,2021-09-06,오후 4:39:33.8,1.56,22.74,4.28,3.27,0
141,3,2021-09-06,오후 4:39:38.8,2.9,26.31,4.1,4.62,0
142,3,2021-09-06,오후 4:39:43.8,2.03,26.47,3.89,4.72,0
143,3,2021-09-06,오후 4:39:48.8,2.25,24.18,3.45,3.6,0
144,3,2021-09-06,오후 4:39:53.8,1.71,24.01,4.26,3.21,0
145,3,2021-09-06,오후 4:39:58.9,2.21,24.57,3.37,3.89,0
146,3,2021-09-06,오후 4:40:03.9,2.92,26.86,4.14,4.03,0
147,3,2021-09-06,오후 4:40:08.9,2.43,25.53,3.23,4.02,0
148,3,2021-09-06,오후 4:40:13.9,2.13,25.95,3.45,3.11,0
149,3,2021-09-06,오후 4:40:18.9,2.32,22.47,4.03,3.53,0
150,3,2021-09-06,오후 4:40:23.9,2.18,25.99,4.06,4.05,0
151,3,2021-09-06,오후 4:40:28.9,1.71,21.18,3.33,3.61,0
152,3,2021-09-06,오후 4:40:33.9,2.43,25.01,3.66,3.05,0
153,3,2021-09-06,오후 4:40:38.9,2.53,24.64,3.16,3.44,0
154,3,2021-09-06,오후 4:40:43.9,2.85,26.57,3.72,3.83,0
155,3,2021-09-06,오후 4:40:48.9,2.69,23.27,3.87,3.11,0
156,3,2021-09-06,오후 4:40:53.9,1.85,21.48,3.31,4.37,0
157,3,2021-09-06,오후 4:40:58.9,2.05,21.74,3.97,4.08,0
158,3,2021-09-06,오후 4:41:03.9,2.01,23.46,3.32,3.45,0
159,3,2021-09-06,오후 4:41:08.9,2.08,23.89,3.65,4.34,0
160,3,2021-09-06,오후 4:41:14.0,2.12,27.05,4.26,3.53,0
161,3,2021-09-06,오후 4:41:19.0,1.65,22.62,3.91,3.65,0
162,3,2021-09-06,오후 4:41:24.0,2.05,27.29,3.52,3.26,0
163,3,2021-09-06,오후 4:41:29.0,2.06,24.42,3.44,4.95,0
164,3,2021-09-06,오후 4:41:34.0,2.77,26.24,3.76,4.37,0
165,3,2021-09-06,오후 4:41:39.0,2.46,23.4,4.33,3.13,0
166,3,2021-09-06,오후 4:41:44.0,2.75,26.2,3.95,4.18,0
167,3,2021-09-06,오후 4:41:49.0,2.63,27.61,3.9,4.75,0
168,3,2021-09-06,오후 4:41:54.0,1.85,23.43,3.57,3.88,0
169,3,2021-09-06,오후 4:41:59.0,2.86,23.84,3.36,3.29,0
170,3,2021-09-06,오후 4:42:04.0,2.76,23.48,3.41,4.43,0
171,3,2021-09-06,오후 4:42:09.0,1.56,26.5,3.4,4.66,0
172,3,2021-09-06,오후 4:42:14.0,2.23,24.65,3.88,4.35,0
173,3,2021-09-06,오후 4:42:19.0,2.46,21.6,3.06,3.37,0
174,3,2021-09-06,오후 4:42:24.0,2.78,26.08,3.36,4.38,0
175,3,2021-09-06,오후 4:42:29.0,2.73,25.61,4.49,4.19,0
176,3,2021-09-06,오후 4:42:34.0,2.2,21.14,3.46,4.78,0
177,3,2021-09-06,오후 4:42:39.0,2.76,25.45,3.67,3.7,0
178,3,2021-09-06,오후 4:42:44.0,2.61,25.16,3.63,4.76,0
179,3,2021-09-06,오후 4:42:49.1,1.97,26.77,4.19,4.28,0
180,3,2021-09-06,오후 4:42:54.1,2,25.95,4.37,3.39,0
181,3,2021-09-06,오후 4:42:59.1,2.11,23.07,3.17,3.63,0
182,3,2021-09-06,오후 4:43:04.1,1.98,25.91,3.35,4.5,0
183,3,2021-09-06,오후 4:43:09.1,2.68,21.41,3.97,3.36,0
184,3,2021-09-06,오후 4:43:14.1,2.87,26.42,3.38,4.75,0
185,3,2021-09-06,오후 4:43:19.1,2.11,27.09,3.14,4.35,0
186,3,2021-09-06,오후 4:43:24.1,2.45,27.59,3.68,4.25,0
187,3,2021-09-06,오후 4:43:29.1,2.48,26.42,3.17,4.63,0
188,3,2021-09-06,오후 4:43:34.1,1.58,23.79,3.59,3.88,0
189,3,2021-09-06,오후 4:43:39.1,1.76,24.55,4.38,4.07,0
190,3,2021-09-06,오후 4:43:44.1,2.08,24.27,3.08,4.33,0
191,3,2021-09-06,오후 4:43:49.1,1.61,25.22,3.67,4.74,0
192,3,2021-09-06,오후 4:43:54.1,2.65,21.96,4.35,3.33,0
193,3,2021-09-06,오후 4:43:59.1,2.97,23.4,3.97,4.96,0
194,3,2021-09-06,오후 4:44:04.2,2,23.57,3.96,3.91,0
195,3,2021-09-06,오후 4:44:09.2,1.84,22.05,3.45,3.11,0
196,3,2021-09-06,오후 4:44:14.2,1.69,24.31,3.01,4.35,0
197,3,2021-09-06,오후 4:44:19.2,2.39,23.29,4.27,3.26,0
198,3,2021-09-06,오후 4:44:24.2,2.86,23.54,3.16,4.39,0
199,3,2021-09-06,오후 4:44:29.2,1.84,21.33,3.09,3.38,0
200,3,2021-09-06,오후 4:44:34.2,2.83,24.31,3.24,3.16,0
201,3,2021-09-06,오후 4:44:39.2,2.26,22.51,3.73,3.04,0
202,3,2021-09-06,오후 4:44:44.2,2.91,23.28,3.95,3.71,0
203,3,2021-09-06,오후 4:44:49.2,1.84,26.05,4.29,4.49,0
204,3,2021-09-06,오후 4:44:54.2,2.03,25.19,3.24,3.81,0
205,3,2021-09-06,오후 4:44:59.2,2.68,22.58,3.71,4.41,0
206,3,2021-09-06,오후 4:45:04.2,1.54,21.46,3.34,4.66,0
207,3,2021-09-06,오후 4:45:09.2,2.83,24.54,3.15,3.74,0
208,4,2021-09-06,오후 4:45:34.7,2.65,25.35,3.57,4.25,0
209,4,2021-09-06,오후 4:45:39.7,1.76,22.92,3.11,4.63,0
210,4,2021-09-06,오후 4:45:44.7,2.26,24.49,3.17,4.67,0
211,4,2021-09-06,오후 4:45:49.7,2.29,26.8,3.91,4.93,0
212,4,2021-09-06,오후 4:45:54.7,1.8,25.82,3.87,4.21,0
213,4,2021-09-06,오후 4:45:59.7,1.8,23.05,3.08,4.39,0
214,4,2021-09-06,오후 4:46:04.7,2.55,24.97,3.44,4.83,0
215,4,2021-09-06,오후 4:46:09.7,2.1,27.5,3.46,3.01,0
216,4,2021-09-06,오후 4:46:14.7,2.13,25.27,4.36,4,0
217,4,2021-09-06,오후 4:46:19.7,2.6,26.09,3.53,3.6,0
218,4,2021-09-06,오후 4:46:24.7,2.07,24.12,3.64,4.84,0
219,4,2021-09-06,오후 4:46:29.8,2.85,24.7,3.27,4.23,0
220,4,2021-09-06,오후 4:46:34.8,1.51,22.87,4.38,3.63,0
221,4,2021-09-06,오후 4:46:39.8,2.51,25.58,4.3,3.24,0
222,4,2021-09-06,오후 4:46:44.8,2.26,25.21,3.29,3.44,0
223,4,2021-09-06,오후 4:46:49.8,2.25,24.86,3.96,4.24,0
224,4,2021-09-06,오후 4:46:54.8,2.05,21.2,3.27,3.62,0
225,4,2021-09-06,오후 4:46:59.8,2.86,25.31,4.22,3.73,0
226,4,2021-09-06,오후 4:47:04.8,1.69,27,3.56,4.36,0
227,4,2021-09-06,오후 4:47:09.8,2.45,27.01,4.35,3.03,0
228,4,2021-09-06,오후 4:47:14.8,2.39,23.8,4.02,3.96,0
229,4,2021-09-06,오후 4:47:19.8,1.61,24.31,3.34,3.53,0
230,4,2021-09-06,오후 4:47:24.8,2.15,23.76,3.72,3.02,0
231,4,2021-09-06,오후 4:47:29.8,2.88,21.98,3.66,4.72,0
232,4,2021-09-06,오후 4:47:34.8,2,22.69,3.92,4.78,0
233,4,2021-09-06,오후 4:47:39.8,2.86,25.01,4.23,4.47,0
234,4,2021-09-06,오후 4:47:44.8,2.56,22.89,3.05,3.66,0
235,4,2021-09-06,오후 4:47:49.8,1.53,23.02,3.64,4.45,0
236,4,2021-09-06,오후 4:47:54.9,2.54,23.44,4.05,3.75,0
237,4,2021-09-06,오후 4:47:59.9,2.05,21.92,3.63,3.01,0
238,4,2021-09-06,오후 4:48:04.9,2.57,25.2,3.75,3.97,0
239,4,2021-09-06,오후 4:48:09.9,2.26,22.58,3.7,4.7,0
240,4,2021-09-06,오후 4:48:14.9,1.95,24.58,3.36,4.17,0
241,4,2021-09-06,오후 4:48:19.9,2.89,27.62,4.1,4.46,0
242,4,2021-09-06,오후 4:48:24.9,1.74,22.85,3.1,3.91,0
243,4,2021-09-06,오후 4:48:29.9,2.7,23.79,3.92,4.58,0
244,4,2021-09-06,오후 4:48:34.9,2.39,24.64,3.02,4.99,0
245,4,2021-09-06,오후 4:48:39.9,1.81,25.52,3.4,3.06,0
246,4,2021-09-06,오후 4:48:44.9,2.2,21.13,3.68,4.51,0
247,4,2021-09-06,오후 4:48:49.9,2.85,25.72,4.4,4.11,0
248,4,2021-09-06,오후 4:48:54.9,2.09,25.36,3.72,3.82,0
249,4,2021-09-06,오후 4:48:59.9,2.77,26.01,4.05,4.57,0
250,4,2021-09-06,오후 4:49:04.9,2.12,22.84,4.44,4.16,0
251,4,2021-09-06,오후 4:49:09.9,2.54,22.96,4.02,3.42,0
252,4,2021-09-06,오후 4:49:14.9,1.76,24.96,3.39,3.48,0
253,4,2021-09-06,오후 4:49:20.0,2.95,24.38,3.93,3.91,0
254,4,2021-09-06,오후 4:49:25.0,2.32,23.37,3.54,4.55,0
255,4,2021-09-06,오후 4:49:30.0,2.59,22.28,4.06,3.63,0
256,4,2021-09-06,오후 4:49:35.0,2.63,23.47,3.79,4.72,0
257,4,2021-09-06,오후 4:49:40.0,2.01,25.59,3.17,3.17,0
258,4,2021-09-06,오후 4:49:45.0,1.7,25.62,3.3,3.93,0
259,4,2021-09-06,오후 4:49:50.0,2.67,27.21,4.11,4.62,0
260,4,2021-09-06,오후 4:49:55.0,2.21,23.46,3.67,3.9,0
261,4,2021-09-06,오후 4:50:00.0,1.51,25.04,4.12,4.97,0
262,4,2021-09-06,오후 4:50:05.0,2.43,24.08,3.24,4.45,0
263,4,2021-09-06,오후 4:50:10.0,2.8,24.39,3.47,4.65,0
264,4,2021-09-06,오후 4:50:15.0,1.87,22.61,3.14,4.63,0
265,4,2021-09-06,오후 4:50:20.0,1.78,24.16,3.34,3.38,0
266,4,2021-09-06,오후 4:50:25.0,2.3,23.73,3.02,4.28,0
267,4,2021-09-06,오후 4:50:30.0,2.2,23.46,3.89,3.82,0
268,4,2021-09-06,오후 4:50:35.0,2.16,21.73,3.13,4.21,0
269,4,2021-09-06,오후 4:50:40.0,2.95,21.17,3.31,4.66,0
270,4,2021-09-06,오후 4:50:45.0,1.96,21.49,3.33,4.62,0
271,4,2021-09-06,오후 4:50:50.0,1.78,23.23,3.13,4.56,0
272,4,2021-09-06,오후 4:50:55.0,2.06,21.68,3.65,4.23,0
273,4,2021-09-06,오후 4:51:00.0,2.03,23.37,4.05,3.06,0
274,4,2021-09-06,오후 4:51:05.0,2.83,24.31,3.62,3.54,0
275,4,2021-09-06,오후 4:51:10.0,2.79,23.54,3.2,4.74,0
276,4,2021-09-06,오후 4:51:15.0,1.83,26.63,3.48,4.89,0
277,5,2021-09-06,오후 4:51:41.4,2.03,26.38,3.98,4.68,0
278,5,2021-09-06,오후 4:51:46.4,1.89,22.29,3.2,3.14,0
279,5,2021-09-06,오후 4:51:51.4,1.91,23.87,3.06,4.72,0
280,5,2021-09-06,오후 4:51:56.4,1.55,21.83,3.7,4.4,0
281,5,2021-09-06,오후 4:52:01.4,1.79,25.18,4.12,3.71,0
282,5,2021-09-06,오후 4:52:06.4,2.7,27.81,3.68,3.84,0
283,5,2021-09-06,오후 4:52:11.4,2.51,27.82,3.78,4.8,0
284,5,2021-09-06,오후 4:52:16.4,1.6,24.01,3.39,3.96,0
285,5,2021-09-06,오후 4:52:21.4,2,21.86,4.21,4.79,0
286,5,2021-09-06,오후 4:52:26.4,2.42,19.2,1.63,3.07,0
287,5,2021-09-06,오후 4:52:31.4,2.28,27.89,3.2,4.32,0
288,5,2021-09-06,오후 4:52:36.4,2.66,24.03,3.89,4.1,0
289,5,2021-09-06,오후 4:52:41.4,1.85,27.92,3.26,4.63,0
290,5,2021-09-06,오후 4:52:46.4,2.59,23.77,3.73,4.95,0
291,5,2021-09-06,오후 4:52:51.4,1.75,22.48,3.43,3.67,0
292,5,2021-09-06,오후 4:52:56.4,2.73,22.91,3.36,3.42,0
293,5,2021-09-06,오후 4:53:01.4,2.33,22.71,3.16,3.29,0
294,5,2021-09-06,오후 4:53:06.5,2.94,26.49,3.86,4.11,0
295,5,2021-09-06,오후 4:53:11.5,2.46,22.1,3.54,3.87,0
296,5,2021-09-06,오후 4:53:16.5,2.78,23.49,2.45,4.3,0
297,5,2021-09-06,오후 4:53:21.5,2.67,25.6,3.4,3.76,0
298,5,2021-09-06,오후 4:53:26.5,2.81,22.6,3.84,4.79,0
299,5,2021-09-06,오후 4:53:31.5,2.87,25.65,4.01,3.85,0
300,5,2021-09-06,오후 4:53:36.5,2.9,24.78,3.85,3.96,0
301,5,2021-09-06,오후 4:53:41.5,2,26.36,3.27,3.05,0
302,5,2021-09-06,오후 4:53:46.5,1.54,25.59,3.54,4.79,0
303,5,2021-09-06,오후 4:53:51.5,1.77,23.91,3.88,3.14,0
304,5,2021-09-06,오후 4:53:56.5,1.77,26.8,3.2,3.07,0
305,5,2021-09-06,오후 4:54:01.5,2.78,24.73,3.59,3.5,0
306,5,2021-09-06,오후 4:54:06.5,2.42,21.23,3.08,4.61,0
307,5,2021-09-06,오후 4:54:11.5,2.72,27.65,3.99,4.82,0
308,5,2021-09-06,오후 4:54:16.5,2.81,26.98,3.33,3.55,0
309,5,2021-09-06,오후 4:54:21.5,1.97,21.63,3.3,4.4,0
310,5,2021-09-06,오후 4:54:26.5,2.07,21.65,4.23,3.04,0
311,5,2021-09-06,오후 4:54:31.5,1.56,22.06,3.45,3.06,0
312,5,2021-09-06,오후 4:54:36.5,1.6,24,3.65,4.14,0
313,5,2021-09-06,오후 4:54:41.5,2.77,25.13,4.08,4.59,0
314,5,2021-09-06,오후 4:54:46.6,2.29,26.6,3.55,4.76,0
315,5,2021-09-06,오후 4:54:51.6,2.1,21.91,3.64,3.41,0
316,5,2021-09-06,오후 4:54:56.6,2.54,24.17,3.46,4.59,0
317,5,2021-09-06,오후 4:55:01.6,1.76,24.96,3.77,4.57,0
318,5,2021-09-06,오후 4:55:06.6,1.87,22.38,4.4,4.84,0
319,5,2021-09-06,오후 4:55:11.6,2.22,26.85,3.39,4.16,0
320,5,2021-09-06,오후 4:55:16.6,1.56,26.33,4.41,3.85,0
321,5,2021-09-06,오후 4:55:21.6,2.59,23.93,4.09,4.5,0
322,5,2021-09-06,오후 4:55:26.6,1.84,24.57,4.16,3.69,0
323,5,2021-09-06,오후 4:55:31.6,2.88,26.9,3.76,3.98,0
324,5,2021-09-06,오후 4:55:36.6,2.47,27.95,3.61,4.68,0
325,5,2021-09-06,오후 4:55:41.6,2.76,25.65,3.49,4.71,0
326,5,2021-09-06,오후 4:55:46.6,2.93,24.21,3.21,4.63,0
327,5,2021-09-06,오후 4:55:51.6,2.04,27.24,3.68,4.63,0
328,5,2021-09-06,오후 4:55:56.6,2.06,23.8,4.19,4.58,0
329,5,2021-09-06,오후 4:56:01.6,2.15,24.1,3.45,4.32,0
330,5,2021-09-06,오후 4:56:06.6,2.68,22.64,3.3,4.72,0
331,5,2021-09-06,오후 4:56:11.6,2.89,26.27,4.33,4.19,0
332,5,2021-09-06,오후 4:56:16.6,2.35,21.59,3.87,3.23,0
333,5,2021-09-06,오후 4:56:21.6,1.53,24.59,3.22,3.07,0
334,5,2021-09-06,오후 4:56:26.7,2.56,27.33,3.75,3.41,0
335,5,2021-09-06,오후 4:56:31.7,1.84,22.69,4.24,4.84,0
336,5,2021-09-06,오후 4:56:36.7,2.18,23,4.16,3.64,0
337,5,2021-09-06,오후 4:56:41.7,1.82,25.1,3.05,4.76,0
338,5,2021-09-06,오후 4:56:46.7,2.74,24.23,4.15,3.06,0
339,5,2021-09-06,오후 4:56:51.7,1.7,22.58,3.15,3.66,0
340,5,2021-09-06,오후 4:56:56.7,2.06,22.91,4.47,3.23,0
341,5,2021-09-06,오후 4:57:01.7,2.76,25.14,3.62,4.69,0
342,5,2021-09-06,오후 4:57:06.7,2.56,25.77,3.42,3.29,0
343,5,2021-09-06,오후 4:57:11.7,2.91,26.73,4.23,3.61,0
344,5,2021-09-06,오후 4:57:16.7,2.26,24.31,3.89,4.53,0
345,5,2021-09-06,오후 4:57:21.7,2.85,24.43,3.99,4.11,0
346,6,2021-09-06,오후 4:57:48.5,2.5,24.83,4.24,4.72,0
347,6,2021-09-06,오후 4:57:53.5,1.77,25.19,3.11,4.7,0
348,6,2021-09-06,오후 4:57:58.5,2.48,22.84,4.08,4.44,0
349,6,2021-09-06,오후 4:58:03.5,2.03,24.92,3.48,3.46,0
